Base_Name,Total_Num,Daily_Raw
After Hours,2047692635,1135483.0
Christmas & Chill,1758312859,4218906.0
Christmas Kisses,2007826822,4909669.0
Dangerous Woman,8408415794,4115842.0
My Everything,8250627886,3631075.0
Positions,6272059096,2110961.0
Starboy,1230010832,548873.0
Sweet Talker,1617754529,498047.0
Sweetener,5723197523,1765801.0
The Remix,42901496,5121.0
When Christmas Comes Around...,232510808,1404463.0
Wicked: For Good,52908919,1729653.0
Wicked: OST,749908541,1805922.0
Wicked: One Wonderful Night,15547020,241062.0
Yours Truly,2191131592,844733.0
Yours Truly (Tenth Anniversary Edition),2249845794,882807.0
k bye for now,342070137,115679.0
"thank u, next",9110463934,3623871.0
eternal sunshine deluxe: brighter days ahead,6185705942,6748627.0
