Base_Name,Total_Num,Daily_Raw
After Hours,2132152159,1076951
Christmas & Chill,1920730652,89600
Christmas Kisses,2198429035,83990
Dangerous Woman,8716147083,3999618
My Everything,8536032458,4006455
Positions,6418303083,1958372
Starboy,1267496988,530296
Sweet Talker,1655314566,470693
Sweetener,5848461945,1611478
The Remix,43366698,6523
When Christmas Comes Around...,288418931,9479
Wicked: For Good,99269987,250774
Wicked: OST,809802913,462998
Wicked: One Wonderful Night,22006694,39481
Yours Truly,2250398113,803355
Yours Truly (Tenth Anniversary Edition),2311568217,835875
k bye for now,349738943,97361
"thank u, next",9388164336,3490855
eternal sunshine deluxe: brighter days ahead,6573398824,4764343
