Base_Name,Total_Num,Daily_Raw
After Hours,2113459747,845350
Christmas & Chill,1918869698,126138
Christmas Kisses,2196666155,121686
Dangerous Woman,8647583942,3343348
My Everything,8469080297,3475048
Positions,6386133546,1668252
Starboy,1258781964,428047
Sweet Talker,1646932859,429151
Sweetener,5821294068,1368111
The Remix,43256550,5680
When Christmas Comes Around...,288231132,11637
Wicked: For Good,94550742,304879
Wicked: OST,801388231,527130
Wicked: One Wonderful Night,21266193,44589
Yours Truly,2237038968,728595
Yours Truly (Tenth Anniversary Edition),2297664798,756907
k bye for now,348085838,91876
"thank u, next",9326611961,3517310
eternal sunshine deluxe: brighter days ahead,6492010311,4460360
