Base_Name,Total_Num,Daily_Raw
After Hours,2124601174,1174654
Christmas & Chill,1920046987,111918
Christmas Kisses,2197789180,106667
Dangerous Woman,8688461804,4228131
My Everything,8508431522,4181250
Positions,6405047319,1983680
Starboy,1263836036,536876
Sweet Talker,1651857007,507728
Sweetener,5837309041,1647660
The Remix,43321281,6917
When Christmas Comes Around...,288348548,10942
Wicked: For Good,97478167,274023
Wicked: OST,806531068,475906
Wicked: One Wonderful Night,21725344,43914
Yours Truly,2244888025,840327
Yours Truly (Tenth Anniversary Edition),2305834663,872985
k bye for now,349077680,103447
"thank u, next",9363398827,3674227
eternal sunshine deluxe: brighter days ahead,6541194022,5129601
