Base_Name,Total_Num,Daily_Raw
After Hours,2041284622,1054410
Christmas & Chill,1731553230,3528640
Christmas Kisses,1977246081,4019923
Dangerous Woman,8384356705,3748612
My Everything,8229153223,3397645
Positions,6259956163,1929442
Starboy,1226976508,488760
Sweet Talker,1614727180,484474
Sweetener,5713273718,1540709
The Remix,42871493,5182
Wicked: For Good,39912568,2774602
Wicked: OST,737702209,2346643
Wicked: One Wonderful Night,13788240,380302
Yours Truly,2186199350,877206
Yours Truly (Tenth Anniversary Edition),2244696890,912821
k bye for now,341414987,100403
"thank u, next",9088882643,3328250
eternal sunshine deluxe: brighter days ahead,6151124474,5359841
