Base_Name,Total_Num,Daily_Raw
After Hours,2106123253,1013463
Christmas & Chill,1917929440,141332
Christmas Kisses,2195765309,137162
Dangerous Woman,8619079555,3694819
My Everything,8442400027,3461847
Positions,6372863881,1678760
Starboy,1255386677,500821
Sweet Talker,1643615057,431469
Sweetener,5810034179,1428106
The Remix,43214681,5799
When Christmas Comes Around...,288137883,15742
Wicked: For Good,92121119,327658
Wicked: OST,797557514,506835
Wicked: One Wonderful Night,20902093,48940
Yours Truly,2231451177,695879
Yours Truly (Tenth Anniversary Edition),2291850979,724064
k bye for now,347363775,92861
"thank u, next",9300280597,3366531
eternal sunshine deluxe: brighter days ahead,6458012768,4542787
