Base_Name,Total_Num,Daily_Raw
After Hours,2142223540,936843
Christmas & Chill,1921579962,81743
Christmas Kisses,2199227856,78714
Dangerous Woman,8754529345,3665776
My Everything,8574970931,3970905
Positions,6437195176,1739668
Starboy,1272344906,439473
Sweet Talker,1660197186,513637
Sweetener,5864268310,1541446
The Remix,43433580,7406
When Christmas Comes Around...,288513773,8480
Wicked: For Good,101594277,213021
Wicked: OST,814262426,440946
Wicked: One Wonderful Night,22375689,32658
Yours Truly,2258166508,739403
Yours Truly (Tenth Anniversary Edition),2319658349,769555
k bye for now,350718974,90292
"thank u, next",9422371728,3277264
eternal sunshine deluxe: brighter days ahead,6619865323,4329055
