Base_Name,Total_Num,Daily_Raw
After Hours,2087047978,1161319
Christmas & Chill,1914905227,247436
Christmas Kisses,2192751292,262811
Dangerous Woman,8546798939,4208437
My Everything,8376385665,3945277
Positions,6339221186,2082378
Starboy,1246855958,492626
Sweet Talker,1634858045,543093
Sweetener,5780852867,1764637
The Remix,43105238,6599
When Christmas Comes Around...,287556102,54034
Wicked: For Good,84229344,610023
Wicked: OST,786505060,751836
Wicked: One Wonderful Night,19805293,85507
Yours Truly,2217653545,810169
Yours Truly (Tenth Anniversary Edition),2277495953,844765
k bye for now,345583444,109634
"thank u, next",9237900002,3717022
eternal sunshine deluxe: brighter days ahead,6370810536,5583853
