Base_Name,Total_Num,Daily_Raw
After Hours,2069203758,1081797
Christmas & Chill,1885824809,18060999
Christmas Kisses,2157868784,21617138
Dangerous Woman,8489770666,3829766
My Everything,8323813116,3494332
Positions,6311787136,1821156
Starboy,1240113306,460411
Sweet Talker,1627565491,487118
Sweetener,5757701062,1510335
The Remix,43016283,6106
When Christmas Comes Around...,277122886,6475188
Wicked: For Good,75237388,682615
Wicked: OST,774625974,879796
Wicked: One Wonderful Night,18601166,93733
Yours Truly,2207099657,701722
Yours Truly (Tenth Anniversary Edition),2266495716,732456
k bye for now,344168160,97029
"thank u, next",9185267114,3611658
eternal sunshine deluxe: brighter days ahead,6295149750,4947382
