Base_Name,Total_Num,Daily_Raw
After Hours,2098414489,1098633
Christmas & Chill,1916884352,163816
Christmas Kisses,2194760069,161007
Dangerous Woman,8589034470,4051978
My Everything,8414921440,3612425
Positions,6359101964,1831938
Starboy,1251811875,500280
Sweet Talker,1640102708,481381
Sweetener,5798094327,1558768
The Remix,43170604,5959
When Christmas Comes Around...,287968572,30038
Wicked: For Good,89295312,402769
Wicked: OST,793424125,577696
Wicked: One Wonderful Night,20489016,53132
Yours Truly,2225730994,744076
Yours Truly (Tenth Anniversary Edition),2285901169,773290
k bye for now,346634616,95037
"thank u, next",9274525188,3364430
eternal sunshine deluxe: brighter days ahead,6422711096,4619025
