Base_Name,Total_Num,Daily_Raw
After Hours,2120218610,1163218
Christmas & Chill,1919600429,119625
Christmas Kisses,2197361868,116788
Dangerous Woman,8672311548,4094501
My Everything,8492567805,4188921
Positions,6397680775,1866918
Starboy,1261820945,519872
Sweet Talker,1649899328,518709
Sweetener,5831062815,1529250
The Remix,43295518,7420
When Christmas Comes Around...,288304476,12084
Wicked: For Good,96402116,282000
Wicked: OST,804625641,526591
Wicked: One Wonderful Night,21554326,41935
Yours Truly,2241842130,746817
Yours Truly (Tenth Anniversary Edition),2302664888,777635
k bye for now,348685536,93341
"thank u, next",9348606892,3525568
eternal sunshine deluxe: brighter days ahead,6521967233,4767765
