Base_Name,Total_Num,Daily_Raw
After Hours,2062720696,1112528.0
Christmas & Chill,1830996910,5650165.0
Christmas Kisses,2093020145,6766511.0
Dangerous Woman,8465765675,4394459.0
My Everything,8301884952,4029675.0
Positions,6300474527,2087169.0
Starboy,1237273646,495740.0
Sweet Talker,1624588955,514389.0
Sweetener,5747715415,1916469.0
The Remix,42980366,6374.0
When Christmas Comes Around...,257609858,1999091.0
Wicked: For Good,70452599,969789.0
Wicked: OST,768644269,1115471.0
Wicked: One Wonderful Night,17947312,137092.0
Yours Truly,2202659338,832061.0
Yours Truly (Tenth Anniversary Edition),2261862516,868229.0
k bye for now,343561967,115298.0
"thank u, next",9163020475,3929044.0
eternal sunshine deluxe: brighter days ahead,6264599025,5632575.0
