Base_Name,Total_Num,Daily_Raw
After Hours,2148115302,1023416
Christmas & Chill,1922050759,78419
Christmas Kisses,2199667134,73287
Dangerous Woman,8776910038,3729572
My Everything,8597986238,3991818
Positions,6447984733,1810102
Starboy,1275124597,483580
Sweet Talker,1663011311,496723
Sweetener,5873971860,1663337
The Remix,43471862,6820
When Christmas Comes Around...,288563118,8576
Wicked: For Good,102891916,233705
Wicked: OST,816767439,454572
Wicked: One Wonderful Night,22582568,34056
Yours Truly,2262612931,754009
Yours Truly (Tenth Anniversary Edition),2324290616,784771
k bye for now,351302692,102375
"thank u, next",9442314445,3284241
eternal sunshine deluxe: brighter days ahead,6646753917,4456596
