Base_Name,Total_Num,Daily_Raw
After Hours,2138032491,994770
Christmas & Chill,1921250158,84841
Christmas Kisses,2198916566,79096
Dangerous Woman,8738769064,3922748
My Everything,8558795373,3959997
Positions,6429585979,1921627
Starboy,1270406848,493181
Sweet Talker,1658180707,480517
Sweetener,5857695608,1625359
The Remix,43406275,6605
When Christmas Comes Around...,288478173,9817
Wicked: For Good,100683465,232548
Wicked: OST,812496333,431405
Wicked: One Wonderful Night,22229539,38075
Yours Truly,2255090104,804786
Yours Truly (Tenth Anniversary Edition),2316450342,838027
k bye for now,350325567,102035
"thank u, next",9408348848,3427146
eternal sunshine deluxe: brighter days ahead,6601348047,4863105
