Base_Name,Total_Num,Daily_Raw
After Hours,2063863585,1142889
Christmas & Chill,1837456695,6459785
Christmas Kisses,2100643404,7623259
Dangerous Woman,8470021193,4255518
My Everything,8305793168,3912632
Positions,6302465335,1990808
Starboy,1237758490,484844
Sweet Talker,1625136720,547765
Sweetener,5749533871,1818456
The Remix,42986410,6044
When Christmas Comes Around...,259890110,2280252
Wicked: For Good,71405459,952860
Wicked: OST,769732063,1087794
Wicked: One Wonderful Night,18076024,128712
Yours Truly,2203453538,794200
Yours Truly (Tenth Anniversary Edition),2262691723,829207
k bye for now,343672970,111003
"thank u, next",9166922281,3901806
eternal sunshine deluxe: brighter days ahead,6269952641,5353616
