Base_Name,Total_Num,Daily_Raw
After Hours,2081341599,1272697.0
Christmas & Chill,1913351547,409972.0
Christmas Kisses,2191073054,457569.0
Dangerous Woman,8526412226,3890419.0
My Everything,8357215741,3546660.0
Positions,6329318560,1832633.0
Starboy,1244478077,462535.0
Sweet Talker,1632291588,479676.0
Sweetener,5772339930,1534457.0
The Remix,43073335,6022.0
When Christmas Comes Around...,287192401,102444.0
Wicked: For Good,81250801,582816.0
Wicked: OST,782707902,777366.0
Wicked: One Wonderful Night,19397435,76298.0
Yours Truly,2213745263,690306.0
Yours Truly (Tenth Anniversary Edition),2273425599,719846.0
k bye for now,345067024,92276.0
"thank u, next",9219522853,3637931.0
eternal sunshine deluxe: brighter days ahead,6343558376,5053700.0
