Base_Name,Total_Num,Daily_Raw
After Hours,2128027624,1123717
Christmas & Chill,1920366100,98345
Christmas Kisses,2198088693,92971
Dangerous Woman,8700705754,3937378
My Everything,8520680250,4071931
Positions,6410944735,1891333
Starboy,1265459880,538546
Sweet Talker,1653400592,509324
Sweetener,5842243421,1572060
The Remix,43341721,7046
When Christmas Comes Around...,288381205,10758
Wicked: For Good,98282052,248765
Wicked: OST,807973055,464388
Wicked: One Wonderful Night,21852357,39240
Yours Truly,2247313315,793192
Yours Truly (Tenth Anniversary Edition),2308359226,824961
k bye for now,349372035,90909
"thank u, next",9374408876,3663183
eternal sunshine deluxe: brighter days ahead,6555050902,4753597
